0,07/05/19,Hazel
1,7072301375,VIENNA FRANKS,1,5.49,NULL,5.49,9
1,24081000000,MEIJER WINGS,1,5.53,NULL,5.53,9
1,3114237925,CHEESE,1,5.99,NULL,5.99,5
1,5000030302,COFFEE CREAMER,1,5.99,NULL,5.99,5
1,27083100000,CHICKEN BREAST,1,6.26,NULL,6.26,9
1,3700076213,PAPER TOWELS,1,6.29,NULL,6.29,8
1,21946200000,BERRY MIX,1,6.43,NULL,6.43,11
1,2031709000006,CAB CUBE STK,1,6.48,NULL,6.48,9
1,1090000018,ALUMINUM FOIL,1,9.99,NULL,9.99,8
5,*3600049959,FACIAL TISSUE,4,5.00,6.64,1.25,8
2,*70882030602,FRZ HASHBROWNS,1,1.79,2.49,1.79,7
2,*7231000847,BIGELOW TEA,1,2.19,2.99,2.19,1
2,*85375400303,WAFER,1,3.49,3.99,3.49,12
2,*7756700210,POPSICLES,1,3.50,3.89,3.50,7
2,*79540413101,FROZEN PIZZA,1,4.99,5.99,4.99,7
2,*79540413606,FROZEN PIZZA,1,4.99,5.99,4.99,7
6,*2100061144,CHEESE SLICES,1,2.50,2.99,2/5.00,5
6,*2500004748,MINUTE MAID,1,1.25,1.65,4/5.00,1
6,*3010078458,CRACKERS,2,5.00,5.58,2/5.00,2
2,*60418320109,FRONTERA SKILI,1,5.99,8.79,5.99,7
2,*1258779008,KITCHEN BAGS,1,6.99,7.99,6.99,10
6,*2840064203,DORITOS,1,3.50,4.29,2/7.00,12
2,*2396478905,S&SBRISKPTY,1,6.39,7.99,6.39,11
7,15.29,7.57,246.37
0,07/19/19,Hazel
1,71928356469,GG DISP PANS,1,5.99,NULL,5.99,13
1,7490404011,BANANAS,1,.88,NULL,.88,11
1,2700039005,TOMATO SAUCE,1,.55,NULL,.55,3
1,4608,LARGE GARLIC,1,.59,NULL,.59,11
1,2700038815,TOMATO PASTE,1,.79,NULL,.79,3
1,71373348819,EGGS,1,.79,NULL,.79,5
1,4061,LETTUCE,1,1.29,NULL,1.29,11
1,4125010231,MILK,1,1.49,NULL,1.49,5
3,3600049959,FACIAL TISSUE,4,6.64,NULL,1.66,8
1,4125094670,BROWN SUGAR,1,1.79,NULL,1.79,6
1,1200000131,MOUNTAIN DEW,1,1.99,NULL,1.99,1
1,7107203052,BREADSTICK,1,1.99,NULL,1.99,2
1,4125010210,MILK,1,2.09,NULL,2.09,5
1,5113150218,SCOURING PAD,1,2.61,NULL,2.61,8
3,3010078458,CRACKERS,2,5.58,NULL,2.79,2
1,3283,HONEYCRISP LB,1,5.11,NULL,5.11,11
1,7056929040,COOKIES,1,2.99,NULL,2.99,12
1,2100005495,SHREDDED CHEES,1,3.19,NULL,3.19,5
1,2100005509,SHREDDED CHEES,1,3.19,NULL,3.19,5
1,3800001611,CEREAL,1,3.19,NULL,3.19,4
1,74988011125,WAFFLES,1,3.19,NULL,3.19,7
1,65131700,BRUS SPROUTS,1,3.29,NULL,3.29,11
1,3800078704,CEREAL,1,3.29,NULL,3.29,4
3,7992711311,PRETZEL RINGS,2,6.58,NULL,3.29,12
1,5100015635,BROTH/STOCK,1,3.49,NULL,3.49,3
1,1600048794,CEREAL,1,3.59,NULL,3.59,4
1,5170098823,DISH TABS,1,3.65,NULL,3.65,8
1,7778200221,SAUSAGE LINKS,1,3.89,NULL,3.89,9
1,1674163322,SE VEG BURGER,1,3.99,NULL,3.99,9
1,3114200088,CHEESE,1,3.99,NULL,3.99,5
1,4720015264,BUTTER,1,4.19,NULL,4.19,5
1,65884265217,NOODLES,1,4.29,NULL,4.29,6
1,3000001040,QUAKER OATS,1,4.39,NULL,4.39,4
1,70882040214,DAIRY CREAMER,1,4.39,NULL,4.39,5
1,79452221012,TAZO TEA,1,4.49,NULL,4.49,1
1,71373333792,SWISS CHEESE,1,4.79,NULL,4.79,5
1,7203002240,SNACK PIE,1,4.99,NULL,4.99,2
1,7800015216,CANADA DRY,1,4.99,NULL,4.99,1
1,5000030302,COFFEE CREAMER,1,5.99,NULL,5.99,5
1,2396478605,S&S 1% PATTY,1,8.99,NULL,8.99,9
2,*7756768606,POPSICLES,1,3.50,3.89,3.50,7
6,*1600012506,CEREAL,1,2.50,3.29,2/5.00,4
6,*1600048772,CEREAL,1,2.50,3.49,2/5.00,4
6,*4120010483,POPCORN,1,2.50,2.99,2/5.00,12
6,*4120010484,POPCORN,1,2.50,2.99,2/5.00,12
6,*4125067795,POTATO CHIPS,1,1.67,3.29,3/5.00,12
6,*7147900001,ENGLISH MUFFIN,2,5.00,5.98,2/5.00,2
6,*71373381323,KETTLE CHIPS,1,1.67,3.29,3/5.00,12
6,*71575610001,RASPBERRIES,1,2.50,3.99,2/5.00,11
6,*71575620002,STRAWBERRIES,1,2.50,3.99,2/5.00,11
2,*2550020536,GROUND COFFEE,1,5.99,7.49,5.99,1
2,*2550060514,FOLGERS COFFEE,1,5.99,6.99,5.99,8
2,*7192120616,FROZEN PIZZA,1,6.99,7.99,6.99,7
2,*7192177946,DIGIORNO PIZZA,1,6.99,7.79,6.99,7
6,*3082,BROC CROWNS,3,3.00,4.47,10/10.00,11
6,*4688,PEPPERS,1,1.00,1.67,10/10.00,11
6,*71928373907,MEIJER BUN,1,1.00,1.29,10/10.00,2
1,*3700091663,TIDE LQ,1,11.99,NULL,11.99,8
7,32.83,6.06,203.28
0,07/26/19,Taylor
3,7600121863,CANDLE,5,2.95,NULL,.59,13
1,89569700202,BAR SOAP,1,4.99,NULL,4.99,10
1,7050102517,NEUTROGENA,1,7.29,NULL,7.29,10
1,4011,BANANAS,1,.80,NULL,.80,11
1,4069,GRN CABBAGE,1,1.16,NULL,1.16,11
1,71373348819,EGGS,1,.69,NULL,.69,5
1,4663,ONION LB,1,1.37,NULL,1.37,11
1,4010000928,BAKING YEAST,1,1.49,NULL,1.49,6
3,3600049959,FACIAL TISSUE,5,8.30,NULL,1.66,8
1,2400034616,PIZZA SAUCE,1,1.69,NULL,1.69,3
1,4119689108,BREAD CRUMBS,1,1.69,NULL,1.69,6
1,1200000159,AQUAFINA,1,1.79,NULL,1.79,1
1,4139005004,BREAD CRUMBS,1,1.89,NULL,1.89,6
1,5010000685,PEPPERONI,1,1.99,NULL,1.99,9
1,7107203052,BREADSTICK,1,1.99,NULL,1.99,2
1,4125010210,MILK,1,2.09,NULL,2.09,5
1,76857350502,ORG BASIL,1,2.29,NULL,2.29,11
1,4123471311,FISH BATTER,1,2.39,NULL,2.39,6
1,4060,BROCCOLI,1,3.11,NULL,3.11,11
1,65111102,BROCCOLI,1,3.34,NULL,3.34,11
1,3283,HONEYCRISP LB,1,6.37,NULL,6.37,11
1,2100061144,CHEESE SLICES,1,2.99,NULL,2.99,5
1,3700034885,NAPKINS,1,3.13,NULL,3.13,8
1,2100005495,SHREDDED CHEES,1,3.19,NULL,3.19,5
1,7341095608,BROWNBERRY,1,3.19,NULL,3.19,2
1,74988011125,WAFFLES,1,3.19,NULL,3.19,7
1,3800078704,CEREAL,1,3.29,NULL,3.29,4
1,7240400426,BRUS SPROUTS,1,3.29,NULL,3.29,11
3,7992711311,PRETZEL RINGS,2,6.58,NULL,3.29,12
1,3520005515,RICE,1,3.49,NULL,3.49,6
1,3800019906,CEREAL,1,3.65,NULL,3.65,4
3,1674163322,SE VEG BURGER,2,7.98,NULL,3.99,9
1,2548400712,NASOYA,1,3.99,NULL,3.99,11
1,4345410015,SMART GROUND,1,3.99,NULL,3.99,9
1,71928326913,CHEESE,1,3.99,NULL,3.99,5
1,65884265217,NOODLES,1,4.29,NULL,4.29,6
1,2100061531,PARMESAN CHEES,1,4.39,NULL,4.39,5
1,4125096344,MJR LUNCHMEAT,1,4.49,NULL,4.49,9
3,79452221012,TAZO TEA,2,8.98,NULL,4.49,1
1,71373333792,SWISS CHEESE,1,4.79,NULL,4.79,5
1,3450063192,HALF & HALF,1,4.99,NULL,4.99,5
1,7203001969,SWEET GOODS,1,4.99,NULL,4.99,2
1,21946200000,BERRY MIX,1,6.22,NULL,6.22,11
3,3700076213,PAPER TOWELS,2,12.58,NULL,6.29,8
1,27083100000,CHICKEN BREAST,1,6.81,NULL,6.81,9
1,2396478905,S&SBRISKPTY,1,7.99,NULL,7.99,11
1,85068710005,OLIVE OIL,1,8.79,NULL,8.79,6
2,*70882039320,WHOLE TOMATOES,1,.71,.89,.71,3
2,*4190007732,COTTAGE CHEESE,1,1.79,2.39,1.79,5
2,*70882013037,UHT HALF & HAL,1,1.91,2.39,1.91,5
2,*3010050656,CRACKER CRISPS,1,1.99,2.79,1.99,2
2,*3010078467,CRACKERS,1,1.99,2.79,1.99,2
2,*3800019987,CEREAL,1,1.99,3.19,1.99,4
2,*70882030602,FRZ HASHBROWNS,1,1.99,2.49,1.99,7
2,*71373343329,SANDWICH BAGS,1,2.23,2.79,2.23,8
2,*71928325554,ICE CREAM,1,2.39,2.99,2.39,5
2,*4125067795,POTATO CHIPS,1,2.63,3.29,2.63,12
2,*1600048794,CEREAL,1,2.99,3.59,2.99,4
1,*1182675011,BUTTER,1,3.49,NULL,3.49,5
2,*7756768606,POPSICLES,1,3.50,3.89,3.50,7
6,*2016922233,SIMPLY POTATOE,1,2.00,2.29,2/4.00,11
2,*3760044595,BACON,1,4.49,6.99,4.49,9
2,*4450098479,HF LUNCHMEAT,1,4.49,5.99,4.49,9
2,*5000030302,COFFEE CREAMER,1,4.49,5.99,4.49,5
2,*2100007389,CLASSICO PIZZA,1,4.50,6.99,4.50,7
2,*2100005367,SHREDDED CHEES,1,4.99,5.49,4.99,5
6,*2500004748,MINUTE MAID,1,1.25,1.65,4/5.00,1
